type,description,risk_score,created_at,category
Other,localhost:5002,24,2025-03-25 08:59:04.145028,Incident
Other,port:3306 mysql,20,2025-03-25 08:59:04.160771,Incident
Other,http.title:admin login,35,2025-03-25 09:20:56.321894,Incident
Other,localhost:5002,33,2025-03-25 09:20:57.900122,Incident
Other,port:3306 mysql,28,2025-03-25 09:20:59.453727,Incident
Other,localhost:3000,26,2025-03-25 09:21:02.723021,Incident
Other,port:27017 mongodb,21,2025-03-25 09:21:05.135672,Incident
Other,http.title:admin login,35,2025-03-25 09:23:22.466069,Incident
Other,localhost:5002,33,2025-03-25 09:23:22.482117,Incident
Other,port:3306 mysql,28,2025-03-25 09:23:22.495147,Incident
Other,localhost:3000,26,2025-03-25 09:23:22.509885,Incident
Other,port:27017 mongodb,21,2025-03-25 09:23:22.523439,Incident
Other,http.title:admin login,35,2025-03-25 09:23:22.538464,Incident
Other,localhost:5002,33,2025-03-25 09:23:22.552644,Incident
Other,port:3306 mysql,28,2025-03-25 09:23:22.571505,Incident
Other,localhost:3000,26,2025-03-25 09:23:22.585552,Incident
Other,port:27017 mongodb,21,2025-03-25 09:23:22.602364,Incident
IP,Hardcoded threat description 1,33,2025-03-25 09:23:24.127787,Incident
IP,Hardcoded threat description 3,23,2025-03-25 09:23:26.620857,Incident
IP,Hardcoded threat description 2,21,2025-03-25 09:23:29.752534,Incident
Other,port:3306 mysql,31,2025-03-25 09:23:31.266291,Incident
Other,http.title:admin login,30,2025-03-25 09:23:34.395028,Incident
Other,localhost:3000,25,2025-03-25 09:23:37.728980,Incident
Other,port:27017 mongodb,21,2025-03-25 09:23:40.914209,Incident
IP,Hardcoded threat description 3,29,2025-03-25 09:41:24.938217,Incident
IP,Hardcoded threat description 2,28,2025-03-25 09:41:28.244042,Incident
IP,Hardcoded threat description 1,27,2025-03-25 09:41:30.783649,Incident
Other,localhost:3000,33,2025-03-25 09:41:33.761315,Incident
Other,http.title:admin login,30,2025-03-25 09:41:36.060990,Incident
Other,port:27017 mongodb,26,2025-03-25 09:41:37.642481,Incident
Other,port:3306 mysql,22,2025-03-25 09:41:40.791343,Incident
Other,Hardcoded threat description 3,29,2025-03-25 09:42:44.929461,Incident
Other,Hardcoded threat description 2,28,2025-03-25 09:42:44.942790,Incident
Other,Hardcoded threat description 1,27,2025-03-25 09:42:44.957527,Incident
Other,localhost:3000,33,2025-03-25 09:42:44.972217,Incident
Other,http.title:admin login,30,2025-03-25 09:42:44.984885,Incident
Other,port:27017 mongodb,26,2025-03-25 09:42:44.997922,Incident
Other,port:3306 mysql,22,2025-03-25 09:42:45.010413,Incident
Other,Hardcoded threat description 3,29,2025-03-25 09:42:45.033270,Incident
Other,Hardcoded threat description 2,28,2025-03-25 09:42:45.046523,Incident
Other,Hardcoded threat description 1,27,2025-03-25 09:42:45.058172,Incident
Other,localhost:3000,33,2025-03-25 09:42:45.069762,Incident
Other,http.title:admin login,30,2025-03-25 09:42:45.082271,Incident
Other,port:27017 mongodb,26,2025-03-25 09:42:45.094050,Incident
Other,port:3306 mysql,22,2025-03-25 09:42:45.105348,Incident
IP,Hardcoded threat description 1,32,2025-03-25 09:42:48.109571,Incident
IP,Hardcoded threat description 2,22,2025-03-25 09:42:51.370782,Incident
IP,Hardcoded threat description 3,22,2025-03-25 09:42:53.015665,Incident
Other,port:3306 mysql,34,2025-03-25 09:42:56.168582,Incident
Other,localhost:3000,30,2025-03-25 09:42:58.619814,Incident
Other,http.title:admin login,29,2025-03-25 09:43:00.348672,Incident
Other,port:27017 mongodb,20,2025-03-25 09:43:00.360484,Incident
Other,Hardcoded threat description 3,29,2025-03-25 09:43:50.330836,Incident
Other,Hardcoded threat description 2,28,2025-03-25 09:43:50.345116,Incident
Other,Hardcoded threat description 1,27,2025-03-25 09:43:50.356403,Incident
Other,localhost:3000,33,2025-03-25 09:43:50.368375,Incident
Other,http.title:admin login,30,2025-03-25 09:43:50.379834,Incident
Other,port:27017 mongodb,26,2025-03-25 09:43:50.392265,Incident
Other,port:3306 mysql,22,2025-03-25 09:43:50.403756,Incident
Other,Hardcoded threat description 1,32,2025-03-25 09:43:50.416162,Incident
Other,Hardcoded threat description 2,22,2025-03-25 09:43:50.430590,Incident
Other,Hardcoded threat description 3,22,2025-03-25 09:43:50.442412,Incident
Other,port:3306 mysql,34,2025-03-25 09:43:50.454674,Incident
Other,localhost:3000,30,2025-03-25 09:43:50.466406,Incident
Other,http.title:admin login,29,2025-03-25 09:43:50.478080,Incident
Other,Hardcoded threat description 3,29,2025-03-25 09:43:50.496417,Incident
Other,Hardcoded threat description 2,28,2025-03-25 09:43:50.508898,Incident
Other,Hardcoded threat description 1,27,2025-03-25 09:43:50.520475,Incident
Other,localhost:3000,33,2025-03-25 09:43:50.531479,Incident
Other,http.title:admin login,30,2025-03-25 09:43:50.542943,Incident
Other,port:27017 mongodb,26,2025-03-25 09:43:50.555185,Incident
Other,port:3306 mysql,22,2025-03-25 09:43:50.572871,Incident
Other,Hardcoded threat description 1,32,2025-03-25 09:43:50.583731,Incident
Other,Hardcoded threat description 2,22,2025-03-25 09:43:50.595891,Incident
Other,Hardcoded threat description 3,22,2025-03-25 09:43:50.612633,Incident
Other,port:3306 mysql,34,2025-03-25 09:43:50.624405,Incident
Other,localhost:3000,30,2025-03-25 09:43:50.639802,Incident
Other,http.title:admin login,29,2025-03-25 09:43:50.653193,Incident
IP,Hardcoded threat description 3,32,2025-03-25 09:43:52.729732,Incident
IP,Hardcoded threat description 1,26,2025-03-25 09:43:55.971562,Incident
IP,Hardcoded threat description 2,21,2025-03-25 09:43:58.370571,Incident
Other,localhost:3000,34,2025-03-25 09:44:01.855485,Incident
Other,port:3306 mysql,34,2025-03-25 09:44:05.106053,Incident
Other,http.title:admin login,26,2025-03-25 09:44:07.553930,Incident
Other,port:27017 mongodb,21,2025-03-25 09:44:10.941300,Incident
Other,Hardcoded threat description 3,29,2025-03-25 10:14:36.775398,Incident
Other,Hardcoded threat description 2,28,2025-03-25 10:14:36.797998,Incident
Other,Hardcoded threat description 1,27,2025-03-25 10:14:36.811106,Incident
Other,localhost:3000,33,2025-03-25 10:14:36.823311,Incident
Other,http.title:admin login,30,2025-03-25 10:14:36.862565,Incident
Other,port:27017 mongodb,26,2025-03-25 10:14:36.873701,Incident
Other,port:3306 mysql,22,2025-03-25 10:14:36.887252,Incident
Other,Hardcoded threat description 1,32,2025-03-25 10:14:36.919110,Incident
Other,Hardcoded threat description 2,22,2025-03-25 10:14:36.951469,Incident
Other,Hardcoded threat description 3,22,2025-03-25 10:14:36.988470,Incident
Other,port:3306 mysql,34,2025-03-25 10:14:36.999744,Incident
Other,localhost:3000,30,2025-03-25 10:14:37.010827,Incident
Other,http.title:admin login,29,2025-03-25 10:14:37.021993,Incident
Other,Hardcoded threat description 3,32,2025-03-25 10:14:37.034089,Incident
Other,Hardcoded threat description 1,26,2025-03-25 10:14:37.045007,Incident
Other,Hardcoded threat description 2,21,2025-03-25 10:14:37.057074,Incident
Other,localhost:3000,34,2025-03-25 10:14:37.069360,Incident
Other,port:3306 mysql,34,2025-03-25 10:14:37.080231,Incident
Other,http.title:admin login,26,2025-03-25 10:14:37.091457,Incident
Other,port:27017 mongodb,21,2025-03-25 10:14:37.103724,Incident
Other,Hardcoded threat description 3,29,2025-03-25 10:14:37.118301,Incident
Other,Hardcoded threat description 2,28,2025-03-25 10:14:37.129003,Incident
Other,Hardcoded threat description 1,27,2025-03-25 10:14:37.140656,Incident
Other,localhost:3000,33,2025-03-25 10:14:37.152541,Incident
Other,http.title:admin login,30,2025-03-25 10:14:37.164125,Incident
Other,port:27017 mongodb,26,2025-03-25 10:14:37.175449,Incident
Other,port:3306 mysql,22,2025-03-25 10:14:37.186830,Incident
Other,Hardcoded threat description 1,32,2025-03-25 10:14:37.218105,Incident
Other,Hardcoded threat description 2,22,2025-03-25 10:14:37.230159,Incident
Other,Hardcoded threat description 3,22,2025-03-25 10:14:37.241532,Incident
Other,port:3306 mysql,34,2025-03-25 10:14:37.253066,Incident
Other,localhost:3000,30,2025-03-25 10:14:37.264640,Incident
Other,http.title:admin login,29,2025-03-25 10:14:37.275747,Incident
Other,Hardcoded threat description 3,32,2025-03-25 10:14:37.287084,Incident
Other,Hardcoded threat description 1,26,2025-03-25 10:14:37.298082,Incident
Other,Hardcoded threat description 2,21,2025-03-25 10:14:37.309284,Incident
Other,localhost:3000,34,2025-03-25 10:14:37.329489,Incident
Other,port:3306 mysql,34,2025-03-25 10:14:37.342037,Incident
Other,http.title:admin login,26,2025-03-25 10:14:37.352292,Incident
Other,port:27017 mongodb,21,2025-03-25 10:14:37.363425,Incident
IP,Hardcoded threat description 2,33,2025-03-25 10:14:40.543574,Incident
IP,Hardcoded threat description 3,33,2025-03-25 10:14:43.071491,Incident
IP,Hardcoded threat description 1,26,2025-03-25 10:14:46.280663,Incident
Other,localhost:3000,33,2025-03-25 10:14:49.348843,Incident
Other,port:3306 mysql,30,2025-03-25 10:14:52.494915,Incident
Other,http.title:admin login,23,2025-03-25 10:14:55.827310,Incident
Other,port:27017 mongodb,21,2025-03-25 10:14:57.752600,Incident
Other,Hardcoded threat description 3,29,2025-03-25 10:22:40.233415,Incident
Other,Hardcoded threat description 2,28,2025-03-25 10:22:40.248747,Incident
Other,Hardcoded threat description 1,27,2025-03-25 10:22:40.262853,Incident
Other,localhost:3000,33,2025-03-25 10:22:40.275744,Incident
Other,http.title:admin login,30,2025-03-25 10:22:40.289013,Incident
Other,port:27017 mongodb,26,2025-03-25 10:22:40.302295,Incident
Other,port:3306 mysql,22,2025-03-25 10:22:40.314057,Incident
Other,Hardcoded threat description 1,32,2025-03-25 10:22:40.327623,Incident
Other,Hardcoded threat description 2,22,2025-03-25 10:22:40.338293,Incident
Other,Hardcoded threat description 3,22,2025-03-25 10:22:40.351647,Incident
Other,port:3306 mysql,34,2025-03-25 10:22:40.364062,Incident
Other,localhost:3000,30,2025-03-25 10:22:40.375503,Incident
Other,http.title:admin login,29,2025-03-25 10:22:40.389253,Incident
Other,Hardcoded threat description 3,32,2025-03-25 10:22:40.400859,Incident
Other,Hardcoded threat description 1,26,2025-03-25 10:22:40.415476,Incident
Other,Hardcoded threat description 2,21,2025-03-25 10:22:40.425993,Incident
Other,localhost:3000,34,2025-03-25 10:22:40.459066,Incident
Other,port:3306 mysql,34,2025-03-25 10:22:40.470596,Incident
Other,http.title:admin login,26,2025-03-25 10:22:40.483202,Incident
Other,port:27017 mongodb,21,2025-03-25 10:22:40.494891,Incident
Other,Hardcoded threat description 2,33,2025-03-25 10:22:40.505985,Incident
Other,Hardcoded threat description 3,33,2025-03-25 10:22:40.517144,Incident
Other,Hardcoded threat description 1,26,2025-03-25 10:22:40.528523,Incident
Other,localhost:3000,33,2025-03-25 10:22:40.539616,Incident
Other,port:3306 mysql,30,2025-03-25 10:22:40.550278,Incident
Other,http.title:admin login,23,2025-03-25 10:22:40.563290,Incident
Other,port:27017 mongodb,21,2025-03-25 10:22:40.576513,Incident
Other,Hardcoded threat description 3,29,2025-03-25 10:22:40.594943,Incident
Other,Hardcoded threat description 2,28,2025-03-25 10:22:40.607221,Incident
Other,Hardcoded threat description 1,27,2025-03-25 10:22:40.619061,Incident
Other,localhost:3000,33,2025-03-25 10:22:40.633781,Incident
Other,http.title:admin login,30,2025-03-25 10:22:40.645238,Incident
Other,port:27017 mongodb,26,2025-03-25 10:22:40.656765,Incident
Other,port:3306 mysql,22,2025-03-25 10:22:40.668085,Incident
Other,Hardcoded threat description 1,32,2025-03-25 10:22:40.680152,Incident
Other,Hardcoded threat description 2,22,2025-03-25 10:22:40.704283,Incident
Other,Hardcoded threat description 3,22,2025-03-25 10:22:40.718464,Incident
Other,port:3306 mysql,34,2025-03-25 10:22:40.730276,Incident
Other,localhost:3000,30,2025-03-25 10:22:40.741058,Incident
Other,http.title:admin login,29,2025-03-25 10:22:40.751146,Incident
Other,Hardcoded threat description 3,32,2025-03-25 10:22:40.762338,Incident
Other,Hardcoded threat description 1,26,2025-03-25 10:22:40.775148,Incident
Other,Hardcoded threat description 2,21,2025-03-25 10:22:40.786252,Incident
Other,localhost:3000,34,2025-03-25 10:22:40.796774,Incident
Other,port:3306 mysql,34,2025-03-25 10:22:40.808289,Incident
Other,http.title:admin login,26,2025-03-25 10:22:40.820694,Incident
Other,port:27017 mongodb,21,2025-03-25 10:22:40.832368,Incident
Other,Hardcoded threat description 2,33,2025-03-25 10:22:40.845745,Incident
Other,Hardcoded threat description 3,33,2025-03-25 10:22:40.856986,Incident
Other,Hardcoded threat description 1,26,2025-03-25 10:22:40.869078,Incident
Other,localhost:3000,33,2025-03-25 10:22:40.882787,Incident
Other,port:3306 mysql,30,2025-03-25 10:22:40.895677,Incident
Other,http.title:admin login,23,2025-03-25 10:22:40.906514,Incident
Other,port:27017 mongodb,21,2025-03-25 10:22:40.917695,Incident
IP,Hardcoded threat description 2,35,2025-03-25 10:22:44.294295,Incident
IP,Hardcoded threat description 3,35,2025-03-25 10:22:47.165337,Incident
IP,Hardcoded threat description 1,33,2025-03-25 10:22:49.893314,Incident
Other,Hardcoded threat description 3,29,2025-03-25 21:31:28.053320,Incident
Other,Hardcoded threat description 2,28,2025-03-25 21:31:28.067309,Incident
Other,Hardcoded threat description 1,27,2025-03-25 21:31:28.078967,Incident
Other,localhost:3000,33,2025-03-25 21:31:28.090777,Incident
Other,http.title:admin login,30,2025-03-25 21:31:28.100753,Incident
Other,port:27017 mongodb,26,2025-03-25 21:31:28.112727,Incident
Other,port:3306 mysql,22,2025-03-25 21:31:28.124158,Incident
Other,Hardcoded threat description 1,32,2025-03-25 21:31:28.136268,Incident
Other,Hardcoded threat description 2,22,2025-03-25 21:31:28.147714,Incident
Other,port:27017 mongodb,26,2025-03-25 21:31:28.541240,Incident
Other,Hardcoded threat description 3,22,2025-03-25 21:31:28.164152,Incident
Other,port:3306 mysql,34,2025-03-25 21:31:28.178859,Incident
Other,localhost:3000,30,2025-03-25 21:31:28.192725,Incident
Other,http.title:admin login,29,2025-03-25 21:31:28.205434,Incident
Other,Hardcoded threat description 3,32,2025-03-25 21:31:28.216161,Incident
Other,Hardcoded threat description 1,26,2025-03-25 21:31:28.228519,Incident
Other,Hardcoded threat description 2,21,2025-03-25 21:31:28.238463,Incident
Other,localhost:3000,34,2025-03-25 21:31:28.248950,Incident
Other,port:3306 mysql,34,2025-03-25 21:31:28.262197,Incident
Other,http.title:admin login,26,2025-03-25 21:31:28.302282,Incident
Other,port:27017 mongodb,21,2025-03-25 21:31:28.326049,Incident
Other,Hardcoded threat description 2,33,2025-03-25 21:31:28.339738,Incident
Other,Hardcoded threat description 3,33,2025-03-25 21:31:28.350805,Incident
Other,Hardcoded threat description 1,26,2025-03-25 21:31:28.362081,Incident
Other,localhost:3000,33,2025-03-25 21:31:28.372695,Incident
Other,port:3306 mysql,30,2025-03-25 21:31:28.384742,Incident
Other,http.title:admin login,23,2025-03-25 21:31:28.395901,Incident
Other,port:27017 mongodb,21,2025-03-25 21:31:28.407863,Incident
Other,Hardcoded threat description 2,35,2025-03-25 21:31:28.418526,Incident
Other,Hardcoded threat description 3,35,2025-03-25 21:31:28.431935,Incident
Other,Hardcoded threat description 1,33,2025-03-25 21:31:28.445605,Incident
Other,Hardcoded threat description 3,29,2025-03-25 21:31:28.476920,Incident
Other,Hardcoded threat description 2,28,2025-03-25 21:31:28.489596,Incident
Other,Hardcoded threat description 1,27,2025-03-25 21:31:28.501558,Incident
Other,localhost:3000,33,2025-03-25 21:31:28.515828,Incident
Other,http.title:admin login,30,2025-03-25 21:31:28.528712,Incident
Other,port:3306 mysql,22,2025-03-25 21:31:28.558577,Incident
Other,Hardcoded threat description 1,32,2025-03-25 21:31:28.571708,Incident
Other,Hardcoded threat description 2,22,2025-03-25 21:31:28.584242,Incident
Other,Hardcoded threat description 3,22,2025-03-25 21:31:28.597721,Incident
Other,port:3306 mysql,34,2025-03-25 21:31:28.609343,Incident
Other,localhost:3000,30,2025-03-25 21:31:28.620563,Incident
Other,http.title:admin login,29,2025-03-25 21:31:28.631016,Incident
Other,Hardcoded threat description 3,32,2025-03-25 21:31:28.642077,Incident
Other,Hardcoded threat description 1,26,2025-03-25 21:31:28.654019,Incident
Other,Hardcoded threat description 2,21,2025-03-25 21:31:28.666069,Incident
Other,localhost:3000,34,2025-03-25 21:31:28.678112,Incident
Other,port:3306 mysql,34,2025-03-25 21:31:28.691660,Incident
Other,http.title:admin login,26,2025-03-25 21:31:28.705849,Incident
Other,port:27017 mongodb,21,2025-03-25 21:31:28.717004,Incident
Other,Hardcoded threat description 2,33,2025-03-25 21:31:28.728724,Incident
Other,Hardcoded threat description 3,33,2025-03-25 21:31:28.740291,Incident
Other,Hardcoded threat description 1,26,2025-03-25 21:31:28.750921,Incident
Other,localhost:3000,33,2025-03-25 21:31:28.763823,Incident
Other,port:3306 mysql,30,2025-03-25 21:31:28.775388,Incident
Other,http.title:admin login,23,2025-03-25 21:31:28.786656,Incident
Other,port:27017 mongodb,21,2025-03-25 21:31:28.802262,Incident
Other,Hardcoded threat description 2,35,2025-03-25 21:31:28.814153,Incident
Other,Hardcoded threat description 3,35,2025-03-25 21:31:28.825482,Incident
Other,Hardcoded threat description 1,33,2025-03-25 21:31:28.835571,Incident
IP,Hardcoded threat description 3,27,2025-03-25 21:31:33.378569,Incident
IP,Hardcoded threat description 1,25,2025-03-25 21:31:35.148800,Incident
IP,Hardcoded threat description 2,23,2025-03-25 21:31:36.800334,Incident
Other,Hardcoded threat description 3,29,2025-03-25 21:35:53.847073,Incident
Other,Hardcoded threat description 2,28,2025-03-25 21:35:53.864160,Incident
Other,Hardcoded threat description 1,27,2025-03-25 21:35:53.881109,Incident
Other,localhost:3000,33,2025-03-25 21:35:53.891363,Incident
Other,http.title:admin login,30,2025-03-25 21:35:53.903178,Incident
Other,port:27017 mongodb,26,2025-03-25 21:35:53.915333,Incident
Other,port:3306 mysql,22,2025-03-25 21:35:53.928640,Incident
Other,Hardcoded threat description 1,32,2025-03-25 21:35:53.940872,Incident
Other,Hardcoded threat description 2,22,2025-03-25 21:35:53.952552,Incident
Other,Hardcoded threat description 3,22,2025-03-25 21:35:53.965456,Incident
Other,port:3306 mysql,34,2025-03-25 21:35:53.976114,Incident
Other,localhost:3000,30,2025-03-25 21:35:53.988834,Incident
Other,http.title:admin login,29,2025-03-25 21:35:54.001935,Incident
Other,Hardcoded threat description 3,32,2025-03-25 21:35:54.016570,Incident
Other,Hardcoded threat description 1,26,2025-03-25 21:35:54.027448,Incident
Other,Hardcoded threat description 2,21,2025-03-25 21:35:54.038241,Incident
Other,localhost:3000,34,2025-03-25 21:35:54.051179,Incident
Other,port:3306 mysql,34,2025-03-25 21:35:54.064048,Incident
Other,http.title:admin login,26,2025-03-25 21:35:54.075147,Incident
Other,port:27017 mongodb,21,2025-03-25 21:35:54.085806,Incident
Other,Hardcoded threat description 2,33,2025-03-25 21:35:54.096705,Incident
Other,Hardcoded threat description 3,33,2025-03-25 21:35:54.108433,Incident
Other,Hardcoded threat description 1,26,2025-03-25 21:35:54.119820,Incident
Other,localhost:3000,33,2025-03-25 21:35:54.140358,Incident
Other,port:3306 mysql,30,2025-03-25 21:35:54.152203,Incident
Other,http.title:admin login,23,2025-03-25 21:35:54.163251,Incident
Other,port:27017 mongodb,21,2025-03-25 21:35:54.202883,Incident
Other,Hardcoded threat description 2,35,2025-03-25 21:35:54.214609,Incident
Other,Hardcoded threat description 3,35,2025-03-25 21:35:54.227618,Incident
Other,Hardcoded threat description 1,33,2025-03-25 21:35:54.239701,Incident
Other,Hardcoded threat description 3,27,2025-03-25 21:35:54.254389,Incident
Other,Hardcoded threat description 1,25,2025-03-25 21:35:54.269147,Incident
Other,Hardcoded threat description 2,23,2025-03-25 21:35:54.283093,Incident
Other,Hardcoded threat description 3,29,2025-03-25 21:35:54.301132,Incident
Other,Hardcoded threat description 2,28,2025-03-25 21:35:54.311360,Incident
Other,Hardcoded threat description 1,27,2025-03-25 21:35:54.322001,Incident
Other,localhost:3000,33,2025-03-25 21:35:54.334261,Incident
Other,http.title:admin login,30,2025-03-25 21:35:54.346141,Incident
Other,port:27017 mongodb,26,2025-03-25 21:35:54.357393,Incident
Other,port:3306 mysql,22,2025-03-25 21:35:54.368052,Incident
Other,Hardcoded threat description 1,32,2025-03-25 21:35:54.382716,Incident
Other,Hardcoded threat description 2,22,2025-03-25 21:35:54.394610,Incident
Other,Hardcoded threat description 3,22,2025-03-25 21:35:54.406127,Incident
Other,port:3306 mysql,34,2025-03-25 21:35:54.426550,Incident
Other,localhost:3000,30,2025-03-25 21:35:54.438544,Incident
Other,http.title:admin login,29,2025-03-25 21:35:54.455341,Incident
Other,Hardcoded threat description 3,32,2025-03-25 21:35:54.469249,Incident
Other,Hardcoded threat description 1,26,2025-03-25 21:35:54.481313,Incident
Other,Hardcoded threat description 2,21,2025-03-25 21:35:54.492458,Incident
Other,localhost:3000,34,2025-03-25 21:35:54.503797,Incident
Other,port:3306 mysql,34,2025-03-25 21:35:54.515894,Incident
Other,http.title:admin login,26,2025-03-25 21:35:54.528210,Incident
Other,port:27017 mongodb,21,2025-03-25 21:35:54.547927,Incident
Other,Hardcoded threat description 2,33,2025-03-25 21:35:54.559112,Incident
Other,Hardcoded threat description 3,33,2025-03-25 21:35:54.569652,Incident
Other,Hardcoded threat description 1,26,2025-03-25 21:35:54.581710,Incident
Other,localhost:3000,33,2025-03-25 21:35:54.593496,Incident
Other,port:3306 mysql,30,2025-03-25 21:35:54.604329,Incident
Other,http.title:admin login,23,2025-03-25 21:35:54.616184,Incident
Other,port:27017 mongodb,21,2025-03-25 21:35:54.628627,Incident
Other,Hardcoded threat description 2,35,2025-03-25 21:35:54.644452,Incident
Other,Hardcoded threat description 3,35,2025-03-25 21:35:54.659941,Incident
Other,Hardcoded threat description 1,33,2025-03-25 21:35:54.671860,Incident
Other,Hardcoded threat description 3,27,2025-03-25 21:35:54.683699,Incident
Other,Hardcoded threat description 1,25,2025-03-25 21:35:54.705497,Incident
Other,Hardcoded threat description 2,23,2025-03-25 21:35:54.721357,Incident
Other,Hardcoded threat description 3,29,2025-03-25 22:59:17.732239,Incident
Other,Hardcoded threat description 2,28,2025-03-25 22:59:17.828257,Incident
Other,Hardcoded threat description 1,27,2025-03-25 22:59:17.839982,Incident
Other,localhost:3000,33,2025-03-25 22:59:17.865048,Incident
Other,http.title:admin login,30,2025-03-25 22:59:17.877994,Incident
Other,port:27017 mongodb,26,2025-03-25 22:59:17.889668,Incident
Other,port:3306 mysql,22,2025-03-25 22:59:17.903312,Incident
Other,Hardcoded threat description 1,32,2025-03-25 22:59:17.918165,Incident
Other,Hardcoded threat description 2,22,2025-03-25 22:59:17.930350,Incident
Other,Hardcoded threat description 3,22,2025-03-25 22:59:17.943307,Incident
Other,port:3306 mysql,34,2025-03-25 22:59:17.955026,Incident
Other,localhost:3000,30,2025-03-25 22:59:17.967160,Incident
Other,http.title:admin login,29,2025-03-25 22:59:17.987588,Incident
Other,Hardcoded threat description 3,32,2025-03-25 22:59:18.006573,Incident
Other,Hardcoded threat description 1,26,2025-03-25 22:59:18.021848,Incident
Other,Hardcoded threat description 2,21,2025-03-25 22:59:18.034935,Incident
Other,localhost:3000,34,2025-03-25 22:59:18.053404,Incident
Other,port:3306 mysql,34,2025-03-25 22:59:18.069862,Incident
Other,http.title:admin login,26,2025-03-25 22:59:18.091651,Incident
Other,port:27017 mongodb,21,2025-03-25 22:59:18.107300,Incident
Other,Hardcoded threat description 2,33,2025-03-25 22:59:18.119707,Incident
Other,Hardcoded threat description 3,33,2025-03-25 22:59:18.132317,Incident
Other,Hardcoded threat description 1,26,2025-03-25 22:59:18.145620,Incident
Other,localhost:3000,33,2025-03-25 22:59:18.156405,Incident
Other,port:3306 mysql,30,2025-03-25 22:59:18.168062,Incident
Other,http.title:admin login,23,2025-03-25 22:59:18.179682,Incident
Other,port:27017 mongodb,21,2025-03-25 22:59:18.189467,Incident
Other,Hardcoded threat description 2,35,2025-03-25 22:59:18.201313,Incident
Other,Hardcoded threat description 3,35,2025-03-25 22:59:18.213103,Incident
Other,Hardcoded threat description 1,33,2025-03-25 22:59:18.224769,Incident
Other,Hardcoded threat description 3,27,2025-03-25 22:59:18.236776,Incident
Other,Hardcoded threat description 1,25,2025-03-25 22:59:18.252045,Incident
Other,Hardcoded threat description 2,23,2025-03-25 22:59:18.264061,Incident
Other,Hardcoded threat description 3,29,2025-03-25 22:59:18.282346,Incident
Other,Hardcoded threat description 2,28,2025-03-25 22:59:18.293020,Incident
Other,Hardcoded threat description 1,27,2025-03-25 22:59:18.301877,Incident
Other,localhost:3000,33,2025-03-25 22:59:18.313567,Incident
Other,http.title:admin login,30,2025-03-25 22:59:18.321099,Incident
Other,port:27017 mongodb,26,2025-03-25 22:59:18.331323,Incident
